,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
71,"Alta Industrial Equipment New York, LLC d/b/a Alta Material Handling",29-RC-282949,Ronkonkoma,NY,2021-09-14,"Region 29, Brooklyn, New York",Closed,11/10/2021,Certification of Results,65.0,55.0,,"Included: All full-time and part-time truck drivers, road service technicians, dock and door technicians,
shop employees, and parts handlers, employed by the employer within New York City and Long
Island.

Excluded: All clerical staff, equipment painters, and supervisors as defined in the Act.",2021
72,"Grocery Delivery E-Services USA, Inc. d/b/a Hello Fresh/Green Chef",27-RC-282916,Aurora,CO,2021-09-14,"Region 27, Denver, Colorado",Closed,08/04/2022,Certification of Results,363.0,386.0,,"Include: All regular part-time and full-time employees of the Employer in the classifications Bundle workers, Line workers, Pack or packing workers, Cleaners, Leads, Prep workers, Trainers, Runners, Quality assurance workers, Inventory, Sanitation workers, Powered industrial truck operators, Machine operators, Assembly, Warehouse, Shipping, Maintenance, Safety, Sauce, and Sticker at its operations at 16304 E. 32nd St., Aurora CO 80011.
Exclude: guards, office clericals, managers and statutory supervisors",2021
73,"Four Seasons Fresh Transport, LLC",21-RC-282937,National City,CA,2021-09-14,"Region 21, Los Angeles, California",Closed,10/13/2021,Certific. of Representative,3.0,3.0,"International Longshore and Warehouse Union, ILWU","All full-time and regular part-time ""over the road"" truck drivers

Excluded: All other employees
",2021
74,"Foundation Building Materials, LLC",20-RC-282830,Honolulu,HI,2021-09-13,"Region 20, San Francisco, California",Closed,12/01/2021,Certification of Results,20.0,14.0,,"Included:
Drivers and Warehousemen

Excluded:
All other employees and Supervisors as defined by the Act.",2021
75,"RTS Packaging, LLC",32-RC-282886,Stockton,CA,2021-09-13,"Region 32, Oakland, California",Closed,11/16/2021,Certific. of Representative,48.0,48.0,,"Included: All machine operators, maintenance & mechanics, quality inspectors, packaging and material handlers, clerks, forklift operators, laborers and production
Excluded: All other employees, guards and supervisors",2021
76,"Sysco San Francisco, Inc.",32-RC-282877,Fremont,CA,2021-09-13,"Region 32, Oakland, California",Closed,08/12/2022,Certification of Results,12.0,12.0,,"Employees Included
All fulltime and regular part-time Inventory Control Clerks, Quality
Assurance Employees, Will Call and Driver Check-in Personnel at the
Employer’s facility in Fremont, California.

Employees Excluded
All other employees, guards, supervisors and managers as defined by the
National Labor Relations Act.",2021
77,Unitil Service Corp.,01-RC-282873,Hampton,NH,2021-09-13,"Region 01, Boston, Massachusetts",Closed,01/04/2022,Certific. of Representative,5.0,5.0,UTILITY WORKERS UNION OF AMERICA  AFL-CIO,"Included: Gas Controllers

Excluded: Supervisors,  Clerical, and Guards as defined in the Act.",2021
78,"Matheson Tri-Gas, Inc.",10-RC-282736,Waverly,TN,2021-09-10,"Region 10, Atlanta, Georgia",Closed,11/08/2021,Certific. of Representative,98.0,100.0,"International Union of Operating Engineers, Local 369","Included: permanent hourly in operations shipping receiving maintenance cylinder prep & lab Excluded: clerical, managers, security",2021
79,"First Student, Inc.",15-RC-282722,Memphis,TN,2021-09-10,"Region 15, New Orleans, Louisiana",Closed,12/08/2021,Certific. of Representative,85.0,65.0,International Brotherhood of Teamsters Local 667,"Included:  All full-time and regular part-time bus drivers, monitors and mechanics, employed by the employer at its Appling City Cove, Memphis Tennessee facility.

Excluded:  All other employees, all clerical employees, and all guards and supervisors as defined by the Act.",2021
80,Stoneway Concrete,19-RC-282791,Seattle,WA,2021-09-10,"Region 19, Seattle, Washington",Closed,11/16/2021,Certification of Results,9.0,7.0,,"Included:

All full-time and part-time Quality Control Technicians. 

Excluded: 

All other employees, including warehouse, office clerical, guards and supervisors as defined by the act.",2021
81,"Paragon Systems, Inc.",05-RC-282807,Washington,DC,2021-09-10,"Region 05, Baltimore, Maryland",Closed,09/30/2021,Withdrawal Non-adjusted,,10.0,,Included:  All Private Security (PSO) Special Police Officers.  Excluded:  All others.,2021
82,Starbucks Corporation,03-RC-282641,Cheektowaga,NY,2021-09-09,"Region 03, Buffalo, New York",Closed,09/10/2021,Withdrawal Non-adjusted,,24.0,,"Included:  All full-time and regular part-time Baristas, Shift Supervisors, Asst Store Managers.

Excluded:  Store Manager: office clericals, guards, and supervisors as defined by the Act.
",2021
83,Starbucks Corporation,03-RC-282640,East Amherst,NY,2021-09-09,"Region 03, Buffalo, New York",Closed,09/10/2021,Withdrawal Non-adjusted,,24.0,,"Included:  All full-time and regular part-time Baristas, Shift Supervisors, Asst Store Managers.

Excluded:  Store Manager: office clericals, guards, and supervisors as defined by the Act.
",2021
84,"SAN ANTONIO LITTLE THEATRE, INC. D/B/A THE PUBLIC THEATER OF SAN ANTONIO",16-RC-282647,San Antonio,TX,2021-09-09,"Region 16, Fort Worth, Texas",Closed,11/12/2021,Certific. of Representative,4.0,5.0,"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, MOVING PICTURE TECHNICIANS, ARTISTS AMoving Picture Technicians,AmovingPicture ND ALLIED CRAFTS OF THE UNITED STATES, ITS TERRITORIES AND CANADA","Included: Stagehands  in all departments, Carpentry, Lighting/Electrical, Props, Scenic, Wardrobe.

Excluded: None",2021
85,American Independent Foundation and True Blue Media as Joint Employers,05-RC-282614,Washington,DC,2021-09-09,"Region 05, Baltimore, Maryland",Closed,09/21/2021,Withdrawal Non-adjusted,,9.0,,"Included:  All full-time editorial department employees.

Excluded:  Supervisors, managers and confidential employees as defined in the Act.",2021
86,Appellate Advocates,02-RC-282664,New York,NY,2021-09-09,"Region 02, New York, New York",Closed,10/04/2021,Withdrawal Non-adjusted,,53.0,,"Included:
All full-time and part-time workers employed including Staff Attorney, Paralegal, Paralegal Specialist, Legal
Advocate, Assistant Mailroom Supervisor, Mailroom Clerk, Senior Staff Attorney, Director of Social Work,
Senior Counsel, Re-Entry Program Associate, and Assistant Paralegal & Receptionist

Excluded: Director of Re-Entry Services, Attorney-in-Charge, Supervising Attorney, Managing Attorney, Director of Innocence Investigation, Founder &
Senior Counsel, Assistant Attorney-in-Charge, Human Resources Manager, Operations Manager, and supervisory employees and confidential
employees as defined in the Act.",2021
87,American Paragon Protective Services LLC,32-RC-282667,Mountain View,CA,2021-09-09,"Region 32, Oakland, California",Closed,11/30/2021,Certific. of Representative,44.0,45.0,"International Union, Security, Police, and Fire Professionals of America (SPFPA) and its Local No.100","INCLUDED:  ALL FULL-TIME AND PART-TIME ARMED AND UNARMED SECURITY OFFICERS PERFORMING GUARD DUTIES
AS DEFINED IN SECTION 9(b)(3) OF THE NATIONAL LABOR RELATIONS ACT, EMPLOYED BY AMERICAN PARAGON
PROTECTIVE SERVICES, CORP @ NASA AMES RESEARCH CENTER, MOFFETT BLVD, MOUNTAIN VIEW, CA 94035

Excluded: ALL OFFICE CLERICAL EMPLOYEES, PROFESSIONAL EMPLOYEES AND SUPERVISORS AS DEFINED BY THE ACT.",2021
88,Curaleaf Worth LLC d/b/a Curaleaf,13-RC-282662,Worth,IL,2021-09-09,"Region 13, Chicago, Illinois",Closed,10/28/2021,Certific. of Representative,35.0,30.0,United Food and Commercial Workers Local 881,"Included:
All full-time and part-time Patient Dispensary Agents.

Excluded: Managers, supervisors, product specialist leads/agent in charge and security guards as defined by the Act",2021
89,St. Bernard Hospital,13-RC-282724,Chicago,IL,2021-09-09,"Region 13, Chicago, Illinois",Closed,10/21/2021,Certification of Results,12.0,13.0,,"Included:
All Full-Timeand Part-Time Dental Assistance Front Desk Coordinator OR Scheduling Coordinator to be represented in the existing unit as defined in the collective bargaining agreement between the Peitioner and Employer.

Excluded:  All confidential employees, managerial employees, guards and supervisors.",2021
90,COMMON GROUND MANAGEMENT (DBA BREAKING GROUND MANAGEMENT),02-RC-282729,New York,NY,2021-09-09,"Region 02, New York, New York",Closed,10/07/2021,Withdrawal Non-adjusted,,371.0,,"Included:
Engineer, Housekeeper, Porter, Maintenance Worker, Residential Aid,
Residential Aid Temp, Office Manager, Housing Specialist, Harm Reduction Specialist,
Reporting Specialist, Housing Reporting Specialist, Entitlement Specialist, Housing
Advocate, Outreach Housing Advocate, Outreach Worker, Connections Case Manager, Case Aid, Case Manager Temp, Outreach Case Manager, Outreach Case Manager Temp, Rent Administrator, Rent Administrator Temp, Street Medicine Team Liaison, 311 Dispatcher,
Painter, Superintendent

- Excluded: Quality Assurance Analyst, Team Leader, Payroll Associate Temp, Leasing
Agent, Leasing Compliance, Leasing Specialist, Medical Provider, Medical Assistant,
Clinical Coordinator, PPOH Psychiatrist, Janian Psychiatrist, ECHO Nurse Practitioner,
Consultant, Interns, Agent Service Intern, Tenant Services Assistant, Program Coordinator,
and all other employees represented by other labor organizations


",2021
91,"The McAuley Center, Inc.",01-RC-282689,West Hartford,CT,2021-09-09,"Region 01, Boston, Massachusetts",Closed,10/13/2021,Withdrawal Non-adjusted,,6.0,,"Including: All ft, regular pt & per diem Registered Nurses and Licensed Practical Nurses. Excluded: All other employees, supervisors and managers as defined by the Act.
",2021
92,"KND Development 55, LLC d/b/a Kindred Hospital Rancho",31-RC-282717,Rancho Cucamonga,CA,2021-09-09,"Region 31, Los Angeles, California",Closed,01/26/2022,Certification of Results,22.0,29.0,,"Included: Medical Technologists (CLS), Case Managers, Social Workers, Dietitians.

Excluded: Supervisors, Guards, all other employee classifications not named.
",2021
93,"The McAuley Center, Inc.",01-RC-282708,West Hartford,CT,2021-09-09,"Region 01, Boston, Massachusetts",Closed,10/13/2021,Withdrawal Non-adjusted,,60.0,,"Incl: All full-time and regular part-time service and maintenance employees employed as assisted living aides, cooks, waitstaff, waitstaff/fill-in hostesses, utility workers, housekeepers, maintenance, laundry aides and concierge. 
Excl: All other employees, supervisors and managers as defined by the Act. 
",2021
94,Logmet LLC,20-RC-282660,Jb Phh,HI,2021-09-09,"Region 20, San Francisco, California",Closed,11/08/2021,Certification of Results,3.0,3.0,,"Included: All full-time and regular part-time Mail Clerks, Drivers, and Warehouse Specialists

Excluded: Managers, Supervisors, Clerical Workers, and all other employees including professional employees, managerial employees, guards, supervisors, and other employees as defined by the Act.",2021
95,CVS Pharmacy,21-RC-282787,Murrieta,CA,2021-09-09,"Region 21, Los Angeles, California",Closed,12/13/2021,Certific. of Representative,13.0,9.0,,,2021
96,"Medxcel Facilities Management, LLC",13-RC-282593,Evanston,IL,2021-09-08,"Region 13, Chicago, Illinois",Closed,11/03/2021,Certific. of Representative,12.0,12.0,International Union of Operating Engineers Local 399,"Included: All full-Trne and regular part-time Maintenace mechanics, facilities technicians, plumbers, electricians, carpenters, boiler room technicians, working in the skilled maintenance department for Medxcel at
AMITA Health Saint Francis Hospital Evanston located at 355 Ridge Ave, Evanston, IL 60202

Excluded:
Office Clerical, professional employees, managers, guards and supervisors as defined by the Act.",2021
97,Fras-le North America,15-RC-282622,Prattville,AL,2021-09-08,"Region 15, New Orleans, Louisiana",Closed,12/08/2021,Certific. of Representative,40.0,26.0,"Retail, Wholesale and Department Store Union","Included:  All Positions including production, maintenance, sanitation, and quality control

Excluded:  All Management and office personnel",2021
98,"BGSE Group, LLC",06-RC-282618,Westover,WV,2021-09-08,"Region 06, Pittsburgh, Pennsylvania",Closed,09/17/2021,Withdrawal Non-adjusted,,12.0,,"Included: All full-time 
and regular part-time CNC machine operators, fabricators, installation
technicians, HVAC technicians, welders, 
and assembly workers employed by the
Employer at its Westover, West Virginia facility located at 134 Tower Lane, Westover, West Virginia 26501.

Excluded: All other employees, managers, office clericals, guards and supervisors as defined in the Act.",2021
99,"G&D Integrated Manufacturing, LLC",25-RC-282502,Morton,IL,2021-09-07,"Region 25, Indianapolis, Indiana",Closed,10/21/2021,Certific. of Representative,20.0,19.0,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers","Included: All hourly full-time and regular part-time welders, saw operators, laser operators, press operators, drivers, and quality control employees employed at 1601 N. Main St., Morton, IL 61550.
Excluded: All other employees, including but not limited to salaried employees, janitorial employees, maintenance employees, professional employees, office clerical employees, guards, and supervisors as defined in the Act.",2021
100,"Tri-State Lumber, Ltd",29-RC-282559,Brooklyn,NY,2021-09-07,"Region 29, Brooklyn, New York",Closed,06/16/2022,Certific. of Representative,37.0,40.0,"United Food and Commercial Workers, Local 1718, AFL-CIO",,2021
